INFO buildroot.py:603:  Mock Version: 5.5
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286/root
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286/root
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/results
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/results
INFO buildroot.py:284:  calling preinit hooks
DEBUG buildroot.py:659:  create skeleton dirs
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/var/lib/rpm
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/var/lib/rpm
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/var/lib/yum
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/var/lib/yum
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/var/lib/dbus
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/var/lib/dbus
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/var/log
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/var/log
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/var/cache/dnf
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/var/cache/dnf
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/var/cache/yum
DEBUG file_util.py:21:  created dir: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/var/cache/yum
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f41-build-49652926-5916286-bootstrap/root/etc/rpm
